Trait5	Geno2	Trait6	Trait3	Geno1	Trait2	Trait4	Trait1	
1.8453	2	-0.70749	-1.3361	2	1.5443	-0.43784	0.72827
0.9605	1	0.85158	1.5164	1	-1.1632	1.0263	-0.11408
-0.63336	1	0.53936	1.1602	1	-0.74229	1.4011	-1.541
1.3355	2	-1.7216	-0.76715	1	0.12195	-0.66179	0.099211
0.36111	2	-0.74876	-0.98283	1	-2.0753	-1.2335	-0.99244
-1.177	1	0.51257	0.84261	1	0.065663	1.2658	-0.64654
0.076305	1	1.5888	1.7606	1	-0.66331	1.4736	0.39057
-0.53841	2	0.11031	-1.5038	1	0.23456	-0.060179	0.14097
-0.59968	1	0.48834	1.0431	1	-0.59377	0.22579	-0.99932
0.37839	1	1.293	0.49142	1	-1.2855	0.37537	0.50786
-0.98262	1	1.6051	0.57702	2	0.44497	0.92494	1.9396
-0.32154	1	1.0249	0.77512	1	-0.62075	0.32547	1.8129
0.094471	1	1.0318	1.5671	2	-0.60413	0.75183	-1.4864
-0.2677	2	-1.3762	-0.039045	2	0.61004	-0.20296	-0.34315
1.45	2	0.22686	-0.18131	1	-0.5462	-0.61255	-0.83409
-0.94296	2	-1.0223	-1.1896	1	-0.4021	-1.2644	-1.2822
-0.65504	2	-2.6825	-1.035	1	0.25776	-1.4615	0.84597
1.3635	1	1.5647	0.59499	2	1.372	1.0621	0.74498
0.60321	1	0.68692	1.4714	2	0.81867	1.711	0.90082
-0.5142	2	-1.0962	-1.5522	1	-0.04535	-1.2401	-0.62273
-1.2303	1	0.82027	1.0532	2	-0.12811	1.344	0.60516
0.84008	2	-0.7159	-0.44987	1	-0.56344	-1.5572	1.0854
0.47761	1	1.5622	1.2168	1	-0.30596	1.1251	-1.3723
-1.3546	2	-0.7484	-0.096654	1	0.03293	0.23078	0.81604
-0.32954	2	-1.6183	-0.57119	1	-0.9399	-1.5734	-0.76341
0.57841	1	0.24378	0.681	1	-0.7778	1.305	0.77773
0.11524	2	-0.85367	0.35424	2	2.3096	0.75697	1.7572
1.1463	2	0.0096586	-0.25741	1	-0.52081	-1.5513	0.64513
-1.3926	2	-0.88863	-0.68795	2	0.0060478	-0.43763	0.97179
-0.34841	1	1.0004	0.23941	1	-0.83161	0.87503	-0.88918
0.79176	1	0.59541	1.0092	1	-1.9591	0.77295	0.31259
