Geno1	Geno2	Trait1	Trait2	Trait3	Trait4	Trait5	Trait6
2	2	1	1	1	1	1	1
2	2	0.46259	1.2692	-1.3164	-0.44096	0.5929	-0.75422
1	1	-0.10011	-0.88834	1.6407	0.99972	0.31288	0.65602
1	1	-1.0533	-0.55296	1.2715	1.3686	-0.19153	0.37361
1	2	0.042371	0.13573	-0.72659	-0.66133	0.43157	-1.6715
1	2	-0.68686	-1.6152	-0.95019	-1.2239	0.12319	-0.79155
1	1	-0.4558	0.090877	0.94224	1.2354	-0.36356	0.34937
1	1	0.237	-0.49002	1.8939	1.4399	0.033059	1.3229
1	2	0.070265	0.22547	-1.4903	-0.069341	-0.16148	-0.01449
1	1	-0.69146	-0.43461	1.1501	0.21205	-0.18087	0.32746
1	1	0.31535	-0.9858	0.57816	0.35924	0.12866	1.0553
2	1	1.2718	0.39314	0.6669	0.90002	-0.30206	1.3376
1	1	1.1871	-0.45611	0.87227	0.31014	-0.092846	0.81278
2	1	-1.0168	-0.44286	1.6933	0.72968	0.038808	0.81906
2	2	-0.25313	0.52468	0.02823	-0.20984	-0.075809	-1.3591
1	2	-0.58108	-0.3967	-0.11925	-0.61288	0.46778	0.090941
1	2	-0.88043	-0.28187	-1.1645	-1.2543	-0.28951	-1.039
1	2	0.54121	0.24395	-1.0043	-1.4483	-0.19839	-2.5407
2	1	0.47375	1.1319	0.68553	1.035	0.44043	1.3011
2	1	0.57785	0.69093	1.5941	1.6735	0.19981	0.50708
1	2	-0.43989	0.0024131	-1.5405	-1.2304	-0.15382	-1.1058
2	1	0.38035	-0.063535	1.1606	1.3124	-0.38043	0.6277
1	2	0.70114	-0.41044	-0.39767	-1.5424	0.27477	-0.76183
1	1	-0.9406	-0.20526	1.3302	1.097	0.16006	1.2988
1	2	0.52122	0.064793	-0.031492	0.21696	-0.41979	-0.79123
1	2	-0.53387	-0.71043	-0.52344	-1.5584	-0.09538	-1.5781
1	1	0.49563	-0.58126	0.7747	1.274	0.19196	0.10624
2	2	1.1499	1.879	0.43595	0.73474	0.045381	-0.88645
1	2	0.40705	-0.37647	-0.19815	-1.5366	0.37167	-0.10553
2	2	0.62526	0.043371	-0.64449	-0.44076	-0.4318	-0.91807
1	1	-0.61788	-0.62414	0.3169	0.85091	-0.10135	0.79065
1	1	0.18491	-1.5226	1.1149	0.75046	0.25948	0.42431
2	2	0.86063	0.92883	-1.1584	-0.099858	-0.55095	-0.064129
1	2	-0.28946	0.0057533	-0.95703	-0.44018	0.084268	-0.23718
1	1	-0.073096	0.16452	1.4444	1.1452	0.46025	0.30452
1	1	0.15637	-0.73137	0.585	-0.046911	0.43881	1.2888
1	2	0.081142	-0.63691	-0.14883	0.66593	-0.13479	-0.22207
1	1	0.10876	-0.23383	1.8314	1.3282	0.4362	0.90139
1	2	-1.0582	-0.97152	-0.57118	-1.2617	0.17115	-0.060679
2	2	-0.47421	-0.56819	-0.38775	0.035215	0.51982	-1.6309
2	2	-0.10242	0.8127	0.41773	-1.1308	-0.30719	-0.80758
1	1	-0.083462	-0.4565	1.1556	0.3299	0.087362	0.31349
1	2	-0.98158	0.01727	-1.3281	-1.4474	0.54555	-0.10096
1	1	-0.80604	-0.19415	1.4986	1.3386	-0.16367	0.68271
1	1	0.80082	-0.57853	1.0716	0.94015	-0.54114	0.032172
2	2	2.0456	0.97954	-0.45536	-0.14332	-0.25819	-1.0833
1	1	-0.30148	0.20623	0.64194	0.76414	-0.59067	0.64326
1	1	-0.55625	-0.26957	1.8447	1.6568	-0.38077	0.58831
