rs3664317	Oas1a	Parp9	Dhx58	Cd1d1	Irf7	Oas3	Pml	Mx1	Ifit1	Trim25	Oas1g	Pglyrp3	Ifih1
1	8.34	9.812	8.774	9.79	9.663	8.27	11.036	7.284	8.286	10.395	8.521	6.186	8.83
1	8.368	9.738	8.566	9.144	9.484	8.818	11.03	6.977	8.294	10.076	8.529	5.968	8.828
1	8.178	9.57	8.726	9.575	10.106	8.99	10.878	7.205	8.676	10.036	8.61	5.976	9.024
1	8.116	9.901	8.904	9.959	9.793	8.336	11.105	7.598	8.316	10.292	8.401	5.814	8.836
2	8.099	9.68	8.876	10.116	9.771	8.379	11.028	7.438	8.541	10.215	8.32	5.917	9.073
1	8.262	9.59	8.24	10.088	8.938	7.832	10.486	6.752	7.825	9.908	8.196	6.15	8.446
1	7.915	9.415	8.308	9.707	9.12	8.702	11.102	7.208	8.243	10.034	7.897	6.06	8.892
2	8.565	10.002	8.96	9.779	10.322	9.24	11.278	7.644	8.893	10.42	8.773	5.914	9.407
1	8.189	9.774	8.541	9.939	9.134	7.819	10.766	7.122	8.352	10.113	8.492	6.269	9.055
1	8.476	9.954	8.908	9.476	9.92	8.764	11.134	7.859	8.788	10.17	8.862	6.226	9.17
2	8.119	9.946	8.876	9.578	10.02	8.734	11.244	7.85	8.838	10.557	8.56	5.98	9.353
2	8.305	9.713	8.972	9.789	9.839	8.804	10.948	7.682	8.896	10.181	8.854	5.979	9.567
2	8.654	10	9.306	9.439	10.457	9.223	10.922	7.082	8.942	10.131	9.162	6.01	9.74
1	8.105	9.748	8.725	10.119	9.782	8.575	11.113	7.63	8.674	10.355	8.59	6.279	8.908
1	8.247	9.715	8.829	9.646	9.953	9.668	11.112	7.384	9.221	10.19	8.64	6	9.552
1	8.511	9.994	9.014	9.89	10.266	8.444	10.599	7.331	9.153	10.012	8.837	6.148	9.023
2	8.947	10.28	9.483	9.398	11.23	9.86	11.324	8.006	9.772	10.524	9.587	5.865	10.067
1	8.526	9.685	8.921	9.7	10.126	9.373	11.121	7.497	9.003	10.357	8.156	6.334	9.678
2	8.06	9.745	9.092	9.278	10.231	8.976	10.998	7.578	9.145	10.283	8.611	6.168	9.413
2	7.93	9.728	8.694	9.512	9.826	9.016	11.276	7.604	8.767	10.378	8.577	5.963	9.264
2	8.511	9.686	9.014	8.982	10.508	10.108	11.304	7.441	9.133	10.341	9.04	6.2	9.974
2	8.645	9.997	8.97	9.443	10.393	9.302	11.409	7.785	8.894	10.552	9.051	5.997	9.412
2	8.293	9.802	9.001	9.524	10.156	9.263	11.212	7.772	8.581	10.433	8.514	6.093	9.177
1	7.781	9.712	8.97	9.375	10.12	9.484	11.317	7.347	8.972	10.393	8.352	6.193	9.587
2	8.465	9.88	8.913	9.816	9.965	8.852	11.138	7.537	8.625	10.426	8.617	6.044	9.556
2	8.657	10.026	9.189	9.691	10.302	9.268	11.194	7.634	9.143	10.378	9.05	6.067	9.679
2	7.634	9.606	8.36	9.465	8.41	8.605	11.183	6.942	8.174	9.952	7.478	6.09	9.535
1	7.669	9.494	8.779	9.552	9.362	8.52	11.024	7.131	8.378	10.391	8.114	6.07	8.851
2	8.618	10.212	9.433	9.672	10.442	9.21	11.328	8.045	9.322	10.5	9.128	5.994	9.656
2	8.731	10.27	9.342	9.43	10.697	10.117	11.286	7.749	9.734	10.464	9.322	6.156	9.876
1	7.554	9.524	8.759	9.93	9.52	8.279	10.82	7.32	8.316	10.31	8.186	6.068	9.046
1	8.262	9.677	8.75	9.444	10.052	8.634	10.888	7.32	8.562	9.893	8.644	6.212	8.918
1	7.823	9.628	8.66	9.529	9.578	8.736	11.206	7.171	8.408	10.062	8.111	5.838	9.033
1	8.28	9.572	8.784	9.428	9.862	9.424	11.27	7.288	8.505	10.174	8.642	6.022	9.313
2	9.09	10.053	9.599	9.469	11.004	9.882	11.436	8.521	9.814	10.562	9.704	6.044	10.061
1	8.446	9.989	9.297	9.688	10.577	9.129	11.102	7.718	9.484	10.231	9.072	6.17	9.21
1	8.668	9.858	9.195	9.385	10.695	9.249	11.028	7.765	9.367	10.319	9.179	6.136	9.563
2	8.574	10.059	9.281	9.233	10.508	9.247	11.145	8.138	9.505	10.402	9.192	5.992	9.848
2	8.523	10.052	9.131	9.507	10.418	9.413	11.187	7.641	9.304	10.465	9.063	6.095	9.733
1	7.987	9.748	8.766	9.578	9.781	8.482	11.279	7.52	8.364	10.141	8.207	6.192	9.133
2	8.466	9.429	8.946	9.395	9.715	9.071	11.388	7.592	8.078	10.32	8.326	6.108	9.021
1	7.668	9.694	8.493	10.112	9.561	8.394	10.922	7.26	8.19	10.27	7.916	5.892	8.974
2	8.379	10.037	9.155	9.683	10.281	9.2	10.913	7.173	9.404	10.381	9.097	6.099	9.714
2	7.805	9.654	8.454	9.198	10.065	9.468	11.217	6.917	8.43	10.459	8.11	6.068	9.068
1	7.981	9.8	8.553	9.946	9.862	8.901	11.085	7.214	8.393	10.373	8.19	6.05	9.015
1	7.746	9.688	8.578	9.901	9.358	7.866	10.928	7.354	7.929	10.233	8.066	5.754	8.883
1	7.997	9.859	8.795	9.867	9.817	8.734	11.109	7.416	8.67	10.247	8.176	6.143	9.081
1	8.674	9.689	9.06	9.81	10.544	8.995	11.189	7.781	9.219	10.07	8.98	5.992	9.143
1	8.088	9.49	8.676	9.456	10.184	8.737	10.998	7.222	8.538	10.192	8.441	6.147	8.55
1	8.001	9.801	8.669	9.977	9.383	8.274	11.055	7.231	7.913	10.272	8.277	5.931	9.009
2	8.218	9.458	8.781	9.214	9.66	8.87	10.738	7.241	8.289	10.029	8.612	6.125	9.38
1	7.684	9.56	8.75	10.077	9.686	8.27	11.102	7.206	8.13	10.212	8.07	6.018	8.984
2	8.326	9.696	8.88	9.714	10.014	9.08	11.055	7.256	8.494	10.054	8.63	6.177	9.162
2	8.906	10.106	9.412	9.704	11.06	9.854	11.335	7.799	10.103	10.471	9.25	6.033	9.97
1	8.073	9.793	8.626	9.879	9.262	8.408	10.844	7.108	8.368	9.959	8.261	6.052	8.916
2	8.527	10.026	9.143	9.244	10.597	9.566	11.108	7.778	9.748	10.351	9.153	6.055	9.698
2	8.614	10.05	9.202	9.508	10.66	9.63	11.156	7.758	9.789	10.324	9.068	6.15	9.948
2	8.522	10.158	8.992	9.684	9.992	8.55	11.125	7.914	8.976	10.311	8.574	5.889	9.566
1	8.086	9.6	8.522	9.544	9.641	8.514	10.99	7.386	8.506	10.194	8.234	6.02	8.736
1	7.873	9.596	8.452	9.422	9.278	8.509	10.958	7.057	8.081	9.981	7.969	6.136	8.958
2	8.371	9.99	8.949	9.931	10.195	8.935	10.83	7.694	9.183	10.493	9.124	6.128	9.396
2	8.476	9.982	9.115	9.639	10.465	9.833	11.105	8.058	9.9	10.351	9.182	6.05	9.884
1	8.512	9.995	8.846	9.951	9.561	8.558	10.769	7.584	8.901	10.139	8.769	5.959	9.203
1	8.358	9.858	8.99	9.981	10.123	9.368	10.989	7.463	9.327	9.93	8.54	6.02	9.543
1	8.23	9.614	8.806	9.919	9.939	9.108	11.184	7.766	8.793	10.174	8.605	5.972	9.068
2	8.238	9.802	8.926	9.595	10.062	8.77	11.202	7.712	9.131	10.34	8.57	6.05	9.464
1	8.533	10.108	9.083	10.214	10.514	8.463	11.008	7.356	9.344	10.196	8.736	6.262	9.257
1	7.866	9.444	8.223	9.865	8.95	8.539	10.935	6.754	7.748	10.177	7.826	6.29	8.716
2	8.888	10.031	9.158	9.407	10.8	9.547	11.238	7.659	9.602	10.398	9.337	6.028	9.529
1	8.026	9.682	8.398	9.824	9.202	8.041	10.703	7.322	8.352	10.209	8.196	6.009	9.001
2	8.974	10.071	9.451	9.348	11.061	9.686	11.255	8.077	10.101	10.323	9.557	6.006	10.072
1	8.181	9.432	9.045	9.544	10.651	9.18	10.832	7.419	8.742	9.818	8.546	6.33	9.201
1	8.137	9.676	9.024	9.37	10.206	9.944	10.985	7.226	8.9	10.362	8.918	6.352	9.367
