rs3664317	0.5479	0.4521
Dhx58	0.0024	0.0029	0.0035	0.0043	0.0053	0.0064	0.0076	0.0092	0.0110	0.0130	0.0154	0.0182	0.0213	0.0249	0.0290	0.0336	0.0388	0.0446	0.0510	0.0581	0.0659	0.0745	0.0838	0.0938	0.1046	0.1162	0.1284	0.1414	0.1550	0.1692	0.1839	0.1990	0.2145	0.2302	0.2459	0.2617	0.2772	0.2924	0.3071	0.3212	0.3346	0.3469	0.3582	0.3683	0.3771	0.3844	0.3902	0.3944	0.3970	0.3978	0.3970	0.3944	0.3902	0.3845	0.3771	0.3684	0.3583	0.3470	0.3346	0.3213	0.3072	0.2925	0.2773	0.2617	0.2460	0.2302	0.2146	0.1991	0.1840	0.1693	0.1551	0.1415	0.1285	0.1162	0.1047	0.0939	0.0838	0.0745	0.0660	0.0582	0.0510	0.0446	0.0388	0.0337	0.0290	0.0250	0.0213	0.0182	0.0154	0.0130	0.0110	0.0092	0.0077	0.0064	0.0053	0.0043	0.0035	0.0029	0.0024	0.0019	0.0015
Cd1d1	0.0010	0.0012	0.0015	0.0019	0.0023	0.0029	0.0035	0.0043	0.0052	0.0064	0.0077	0.0092	0.0110	0.0131	0.0156	0.0184	0.0216	0.0253	0.0295	0.0342	0.0395	0.0455	0.0521	0.0594	0.0674	0.0762	0.0857	0.0960	0.1072	0.1190	0.1316	0.1449	0.1589	0.1734	0.1885	0.2039	0.2197	0.2357	0.2517	0.2677	0.2834	0.2987	0.3135	0.3276	0.3408	0.3530	0.3641	0.3739	0.3823	0.3891	0.3944	0.3980	0.3999	0.4000	0.3984	0.3951	0.3901	0.3835	0.3753	0.3658	0.3549	0.3428	0.3297	0.3158	0.3011	0.2858	0.2702	0.2543	0.2382	0.2223	0.2064	0.1909	0.1758	0.1612	0.1471	0.1337	0.1210	0.1090	0.0978	0.0873	0.0776	0.0687	0.0606	0.0532	0.0465	0.0404	0.0350	0.0302	0.0259	0.0222	0.0189	0.0160	0.0135	0.0113	0.0095	0.0079	0.0066	0.0054	0.0044	0.0036	0.0030
Ifit1	0.0063	0.0075	0.0089	0.0105	0.0124	0.0145	0.0169	0.0197	0.0228	0.0264	0.0303	0.0347	0.0397	0.0451	0.0511	0.0577	0.0649	0.0728	0.0812	0.0904	0.1002	0.1106	0.1217	0.1333	0.1456	0.1584	0.1717	0.1854	0.1995	0.2138	0.2284	0.2430	0.2576	0.2720	0.2862	0.3001	0.3134	0.3261	0.3381	0.3492	0.3593	0.3684	0.3763	0.3830	0.3883	0.3922	0.3948	0.3958	0.3954	0.3936	0.3902	0.3855	0.3795	0.3721	0.3635	0.3539	0.3432	0.3316	0.3192	0.3061	0.2925	0.2784	0.2641	0.2495	0.2349	0.2203	0.2059	0.1917	0.1778	0.1643	0.1513	0.1388	0.1268	0.1155	0.1047	0.0947	0.0852	0.0765	0.0683	0.0609	0.0540	0.0477	0.0420	0.0369	0.0322	0.0281	0.0244	0.0211	0.0181	0.0156	0.0133	0.0113	0.0096	0.0081	0.0068	0.0057	0.0048	0.0040	0.0033	0.0027	0.0023
Oas1g	0.0009	0.0011	0.0014	0.0018	0.0022	0.0028	0.0034	0.0042	0.0052	0.0063	0.0076	0.0092	0.0111	0.0133	0.0158	0.0187	0.0221	0.0260	0.0304	0.0353	0.0409	0.0472	0.0542	0.0619	0.0704	0.0797	0.0899	0.1008	0.1125	0.1251	0.1383	0.1523	0.1670	0.1822	0.1978	0.2138	0.2300	0.2464	0.2626	0.2787	0.2943	0.3094	0.3238	0.3373	0.3497	0.3609	0.3707	0.3791	0.3858	0.3909	0.3942	0.3956	0.3953	0.3931	0.3891	0.3834	0.3761	0.3672	0.3568	0.3451	0.3323	0.3184	0.3038	0.2884	0.2726	0.2565	0.2401	0.2238	0.2077	0.1918	0.1763	0.1613	0.1469	0.1332	0.1202	0.1080	0.0965	0.0859	0.0761	0.0671	0.0589	0.0514	0.0447	0.0387	0.0334	0.0286	0.0244	0.0208	0.0176	0.0148	0.0124	0.0103	0.0086	0.0071	0.0058	0.0048	0.0039	0.0032	0.0025	0.0020	0.0016
Ifih1	0.0023	0.0028	0.0034	0.0041	0.0050	0.0060	0.0071	0.0085	0.0101	0.0119	0.0140	0.0164	0.0192	0.0223	0.0259	0.0299	0.0343	0.0393	0.0449	0.0510	0.0578	0.0652	0.0733	0.0820	0.0914	0.1015	0.1124	0.1238	0.1359	0.1487	0.1620	0.1758	0.1900	0.2046	0.2195	0.2345	0.2496	0.2647	0.2795	0.2941	0.3082	0.3218	0.3347	0.3467	0.3578	0.3678	0.3766	0.3842	0.3903	0.3951	0.3984	0.4001	0.4003	0.3990	0.3961	0.3917	0.3859	0.3787	0.3702	0.3605	0.3497	0.3379	0.3252	0.3118	0.2978	0.2834	0.2685	0.2535	0.2384	0.2234	0.2084	0.1938	0.1794	0.1655	0.1521	0.1392	0.1269	0.1153	0.1043	0.0940	0.0844	0.0755	0.0672	0.0597	0.0527	0.0464	0.0407	0.0356	0.0310	0.0269	0.0232	0.0200	0.0171	0.0146	0.0124	0.0105	0.0089	0.0075	0.0063	0.0052	0.0043
Parp9	0.0080	0.0094	0.0111	0.0130	0.0152	0.0177	0.0205	0.0237	0.0272	0.0312	0.0357	0.0406	0.0461	0.0521	0.0587	0.0659	0.0737	0.0821	0.0912	0.1009	0.1112	0.1222	0.1337	0.1458	0.1585	0.1716	0.1851	0.1990	0.2132	0.2276	0.2420	0.2565	0.2709	0.2850	0.2988	0.3121	0.3249	0.3369	0.3482	0.3586	0.3679	0.3761	0.3832	0.3889	0.3934	0.3964	0.3981	0.3983	0.3971	0.3945	0.3905	0.3851	0.3785	0.3706	0.3617	0.3516	0.3406	0.3288	0.3163	0.3031	0.2894	0.2754	0.2611	0.2467	0.2322	0.2178	0.2035	0.1895	0.1759	0.1626	0.1498	0.1375	0.1258	0.1146	0.1041	0.0942	0.0849	0.0763	0.0683	0.0609	0.0541	0.0480	0.0423	0.0372	0.0326	0.0285	0.0247	0.0214	0.0185	0.0159	0.0137	0.0117	0.0099	0.0084	0.0071	0.0060	0.0050	0.0042	0.0035	0.0029	0.0024
Oas1a	0.0034	0.0042	0.0051	0.0061	0.0073	0.0087	0.0104	0.0124	0.0146	0.0172	0.0201	0.0235	0.0273	0.0316	0.0364	0.0417	0.0477	0.0543	0.0616	0.0695	0.0782	0.0876	0.0977	0.1085	0.1201	0.1323	0.1452	0.1586	0.1727	0.1871	0.2020	0.2172	0.2325	0.2479	0.2633	0.2785	0.2933	0.3077	0.3214	0.3344	0.3465	0.3576	0.3675	0.3761	0.3834	0.3892	0.3935	0.3963	0.3974	0.3969	0.3947	0.3910	0.3857	0.3790	0.3708	0.3613	0.3507	0.3389	0.3263	0.3128	0.2986	0.2839	0.2689	0.2536	0.2382	0.2228	0.2075	0.1925	0.1779	0.1637	0.1500	0.1369	0.1245	0.1127	0.1016	0.0912	0.0816	0.0726	0.0644	0.0569	0.0501	0.0439	0.0383	0.0332	0.0288	0.0248	0.0213	0.0182	0.0155	0.0131	0.0111	0.0093	0.0078	0.0065	0.0054	0.0045	0.0037	0.0030	0.0025	0.0020	0.0016
Irf7	0.0002	0.0003	0.0004	0.0005	0.0006	0.0008	0.0010	0.0013	0.0016	0.0021	0.0026	0.0033	0.0040	0.0050	0.0061	0.0075	0.0091	0.0111	0.0133	0.0160	0.0191	0.0226	0.0267	0.0314	0.0367	0.0428	0.0495	0.0570	0.0654	0.0746	0.0846	0.0956	0.1074	0.1201	0.1336	0.1478	0.1628	0.1784	0.1946	0.2111	0.2279	0.2448	0.2617	0.2783	0.2946	0.3102	0.3250	0.3388	0.3514	0.3627	0.3725	0.3806	0.3870	0.3916	0.3942	0.3948	0.3935	0.3903	0.3851	0.3781	0.3694	0.3591	0.3473	0.3343	0.3201	0.3050	0.2892	0.2728	0.2561	0.2392	0.2223	0.2056	0.1891	0.1732	0.1577	0.1430	0.1290	0.1157	0.1033	0.0918	0.0812	0.0714	0.0625	0.0544	0.0472	0.0407	0.0349	0.0298	0.0253	0.0214	0.0180	0.0151	0.0125	0.0104	0.0086	0.0070	0.0057	0.0047	0.0038	0.0030	0.0024
Mx1	0.0028	0.0035	0.0043	0.0053	0.0066	0.0081	0.0098	0.0119	0.0144	0.0173	0.0207	0.0246	0.0291	0.0342	0.0400	0.0465	0.0539	0.0621	0.0711	0.0811	0.0919	0.1037	0.1164	0.1300	0.1444	0.1595	0.1754	0.1918	0.2086	0.2258	0.2431	0.2604	0.2775	0.2941	0.3102	0.3254	0.3396	0.3526	0.3641	0.3742	0.3824	0.3889	0.3934	0.3959	0.3964	0.3948	0.3911	0.3855	0.3780	0.3688	0.3579	0.3455	0.3318	0.3170	0.3013	0.2849	0.2680	0.2508	0.2335	0.2162	0.1992	0.1826	0.1665	0.1510	0.1363	0.1223	0.1092	0.0970	0.0858	0.0754	0.0660	0.0574	0.0497	0.0428	0.0367	0.0312	0.0265	0.0223	0.0187	0.0156	0.0130	0.0107	0.0088	0.0072	0.0059	0.0047	0.0038	0.0031	0.0024	0.0019	0.0015	0.0012	0.0009	0.0007	0.0006	0.0004	0.0003	0.0002	0.0002	0.0001	0.0001
Trim25	0.0009	0.0012	0.0014	0.0018	0.0022	0.0026	0.0032	0.0039	0.0047	0.0056	0.0068	0.0081	0.0096	0.0113	0.0133	0.0156	0.0183	0.0213	0.0247	0.0286	0.0329	0.0377	0.0431	0.0490	0.0556	0.0628	0.0706	0.0791	0.0883	0.0982	0.1087	0.1200	0.1319	0.1444	0.1575	0.1711	0.1851	0.1996	0.2144	0.2293	0.2444	0.2594	0.2743	0.2889	0.3031	0.3168	0.3299	0.3422	0.3535	0.3638	0.3730	0.3809	0.3875	0.3927	0.3964	0.3987	0.3993	0.3985	0.3961	0.3922	0.3868	0.3801	0.3720	0.3627	0.3522	0.3408	0.3284	0.3153	0.3015	0.2872	0.2725	0.2576	0.2426	0.2275	0.2126	0.1979	0.1835	0.1695	0.1559	0.1429	0.1304	0.1186	0.1075	0.0970	0.0872	0.0781	0.0696	0.0619	0.0548	0.0483	0.0424	0.0371	0.0323	0.0281	0.0243	0.0209	0.0180	0.0153	0.0131	0.0111	0.0094
