Genotype	Gene3	Gene2	Phenotype	Gene1
2	1	1	1	1
2	-1.0008	-0.44837	0.21808	-1.196
1	-0.29368	-0.53043	-1.0893	-0.10136
2	0.70835	0.72886	-0.18098	-0.42907
1	0.63703	0.86428	1.7013	0.1425
1	-1.2402	-0.69712	-1.7002	-0.71634
1	-1.1952	0.27155	-0.79413	-1.0965
2	0.62914	0.94265	1.8385	0.6135
1	-1.91	-2.379	-3.1094	-1.0924
2	-0.83436	-0.90968	-1.3598	1.335
1	0.15685	0.4766	1.2891	-1.3309
2	0.7047	1.0623	1.9811	1.2821
1	0.59747	-0.023123	0.88555	-0.8844
1	-1.0557	-1.5548	-1.3016	-0.77687
2	1.5206	2.0289	0.90366	1.8089
1	0.65525	-0.47226	-1.1824	0.41863
2	-0.39262	0.382	-0.64829	0.40947
2	0.14966	0.22972	0.33797	0.69647
1	-1.8836	-0.68534	-0.99941	-0.78961
1	0.48181	0.01241	1.2145	0.16835
2	1.4673	2.0438	2.4674	2.5234
1	-1.3242	-0.80218	-1.6446	-0.31044
1	-1.2471	-2.0351	-1.0296	-1.937
1	0.23695	-0.01724	-0.32851	-0.16484
1	-0.13986	-0.6065	-0.8491	-0.95538
2	0.90888	1.0365	2.7222	1.3507
1	-0.30556	-1.1546	-0.86033	-2.2006
2	0.5391	0.99532	0.96947	1.1575
2	1.1235	0.37982	0.64439	0.94362
2	1.7073	1.9303	2.8018	1.9158
1	-0.20553	-0.074104	-0.50073	-1.0697
1	-0.27415	0.23076	-0.27564	-0.11286
1	-1.304	-1.1213	-0.71793	-1.3462
2	0.54315	0.55846	0.87411	1.2432
1	-1.0659	-0.38067	-1.4372	-2.0927
1	0.21278	-1.0115	-1.0984	-0.72751
1	-2.9061	-1.3118	-3.8372	-2.0448
2	-0.69608	-0.61145	-1.0037	0.12181
1	0.66835	0.018886	-1.0081	-1.4165
1	0.32575	-0.51767	1.0187	-0.40914
2	0.65837	1.2791	1.8388	2.2906
2	0.37574	0.21618	-0.89435	1.2643
1	0.13513	-0.31405	-0.16057	0.77712
2	0.16054	0.40635	0.036165	1.6374
1	1.9393	1.5717	2.6922	1.1933
1	-0.59118	-0.47154	-0.20293	-1.5576
1	-0.35938	-0.49565	-0.20837	0.61043
2	-0.57133	0.15921	-0.44158	0.43312
1	0.31835	0.49002	2.2029	0.17685
1	-0.0093708	-0.85889	-1.0934	-1.6905
1	-0.90501	-1.4637	-1.5526	-1.828
2	0.11531	-0.022781	0.88843	0.8607
1	0.34978	-0.34306	0.95301	-0.056177
2	-0.22236	-0.13023	0.37608	0.18027
1	-0.90103	-0.38393	-1.1513	-0.78153
2	0.66848	0.81005	1.3945	3.3654
2	0.10539	0.59781	0.77864	0.63865
1	-1.15	-1.4531	-2.929	-1.6867
1	0.20842	-0.0039076	-0.12879	-0.31459
2	0.52155	1.248	1.0411	1.9656
2	0.041926	0.86223	1.2222	1.0289
1	-0.70875	-0.15791	-1.1581	-0.77456
1	-1.1701	-0.57889	-0.8843	-0.11873
2	0.98106	1.0805	0.95484	2.1834
2	0.26676	0.7527	0.61491	1.9024
1	-0.64765	0.19831	-1.4399	1.3127
2	0.92209	2.2111	1.208	2.7402
2	-0.93755	-0.26009	0.54448	0.20265
2	1.2403	1.8468	1.6169	1.8359
1	-0.1313	0.14288	-0.48278	-0.96105
1	-0.7222	-0.25191	-1.2122	-0.59027
2	-0.57013	-0.061267	-0.5438	0.18234
1	-1.5355	-1.1998	-2.6613	-0.2634
2	0.86507	0.60361	1.2411	-0.29711
1	-0.60117	-0.7424	-0.79575	-0.5736
1	-0.91776	-1.5669	-2.1735	-0.56602
2	0.9917	2.3088	1.7993	2.645
1	0.17017	0.53321	0.84278	-1.4458
2	-0.22306	0.262	-0.86259	0.87407
1	-0.42107	-0.69813	-0.48166	-1.009
1	0.46913	-0.76457	0.11077	-0.21258
1	0.066036	-0.48665	-0.74847	0.38785
1	0.16465	-0.57268	0.19043	0.23
1	-1.2044	-2.2027	-2.9688	-2.5546
1	-0.3031	-2.0277	-1.3027	-2.6541
2	-0.20063	0.3886	1.2227	0.84669
2	-0.23897	0.0036995	-1.4547	0.37173
1	2.197	0.41411	0.68339	-1.2721
2	1.9922	2.748	3.0416	3.1268
1	-1.7922	-1.2233	-3.1352	-0.98514
2	0.66968	0.81377	1.9112	1.7507
2	1.048	1.3718	1.5938	1.4847
1	0.56532	-0.97153	-0.91123	-2.4761
2	-0.53609	-0.30043	-0.65398	-0.38562
2	1.0012	1.3344	2.0595	2.8441
1	-3.4639	-2.4231	-3.9055	-2.3575
1	0.79272	-0.78962	-0.40706	-1.1306
1	0.78178	0.32152	0.79399	0.14086
2	-0.28587	0.20138	0.78238	2.1602
2	1.4137	1.6184	2.2458	2.1799
2	1.409	1.6079	2.4053	2.0587
2	-0.049571	1.1163	2.0792	0.99457
1	-1.394	-0.67782	-2.2302	-0.33872
2	0.5374	1.8476	2.205	2.0025
1	-1.4988	-0.90782	-1.4206	-1.2048
1	-2.2683	-1.7667	-3.7613	-2.0306
1	0.5275	-0.34657	0.11355	-0.6761
1	-1.89	-2.1862	-2.3535	-2.2032
2	1.4183	2.5108	2.4607	1.7296
1	-0.19829	0.031868	0.014954	-1.7813
2	1.9842	2.0081	3.2753	3.6534
1	0.60225	0.089417	0.37343	-1.396
2	0.15127	0.55563	-0.099824	1.684
1	-0.30521	-0.0050244	-0.68635	-0.42167
2	0.65124	0.2796	-0.22261	1.4011
1	-0.71925	-1.8908	-2.0898	-1.2222
2	-0.56741	0.091717	-0.37763	0.40742
1	-2.8956	-2.2286	-3.4496	-3.429
2	-0.89598	1.0267	-0.4909	1.1085
1	-0.94952	-0.7555	-1.795	-0.13335
2	1.2407	2.0614	2.5452	1.9642
1	-0.11717	-0.54282	-1.9921	-0.72275
1	-0.45987	-0.58174	-1.1552	-0.76589
2	1.4219	1.7052	1.3243	2.0381
1	0.17284	-1.1866	0.12735	-0.89424
1	-1.5493	-1.5627	-2.191	-1.4248
2	-0.52149	0.50488	0.88087	1.9829
2	-0.073205	0.87222	-0.68612	1.5622
1	-0.20595	-0.60619	-1.2632	-0.31189
1	-1.6215	-2.0613	-2.6335	-2.0367
2	0.91305	1.4897	2.1731	2.2545
1	1.142	1.8275	1.8053	1.0419
1	-0.45335	-1.322	-1.3973	-0.48254
2	0.74114	1.8757	1.4174	2.1017
1	-0.38344	-0.17813	-0.23266	-0.41796
2	0.92714	1.7223	2.7582	1.4736
1	-0.96407	-1.004	-1.3232	-0.72647
1	-0.17388	-0.55234	-0.16535	-1.1821
1	-1.4482	-1.0906	-1.9966	-0.2562
1	-1.5948	-1.656	-2.1184	-1.9089
1	0.30118	-0.24953	0.3965	-1.2012
1	0.040955	-1.5321	-0.0067596	-1.8302
2	-0.47573	0.19062	-0.38082	1.4748
1	-0.57924	-0.90781	-1.0718	-0.87675
2	1.2355	1.6025	0.66291	1.3094
1	-0.85148	-1.0376	-0.35579	-0.84493
1	0.62128	-0.097245	1.1169	1.1175
1	-1.0166	-0.95689	-0.54272	-1.0278
2	2.2273	2.234	3.0504	2.9534
2	0.39445	0.74964	0.49728	0.40693
1	-1.0992	-1.0596	-0.34052	-1.6927
2	-0.87373	-0.044581	-0.87888	-0.87457
1	-0.17361	-1.0992	-0.61197	-0.52145
2	-0.81143	-0.23214	0.019331	-0.021054
2	0.4003	0.84559	1.3177	0.22445
2	2.4797	2.3692	3.1041	1.2821
2	-1.2217	0.28611	-0.91875	0.53117
1	-0.37718	-1.1674	1.1769	-0.7679
2	0.69641	1.3615	1.2907	1.7631
1	0.058157	-1.4908	-1.6127	-2.051
2	-0.10351	-0.26543	-1.1031	1.4271
2	1.5874	1.159	2.1284	1.6052
2	0.7304	1.8986	1.8219	2.6148
2	1.2822	1.2151	1.6436	0.45098
1	-0.67686	-0.50447	-0.81689	-0.47995
2	0.099845	0.22575	-0.38467	1.3463
1	-0.60473	-0.56624	-1.0822	-0.9277
2	-0.09599	-0.052173	0.60328	0.36281
1	1.3654	0.15181	1.0298	-1.196
2	-1.4158	-1.1006	-1.9009	0.73982
1	-0.035902	-0.11554	0.031789	0.15859
2	-0.41972	-0.75665	-0.12297	-1.1222
2	0.5198	1.1791	1.4405	0.74397
2	0.48739	-0.18437	0.062889	1.33
1	-0.40637	-0.97335	-1.7407	-1.7785
2	1.2506	2.1236	2.544	2.21
1	0.2246	0.14729	0.19402	-0.0184
1	-2.9787	-2.8634	-3.6482	-3.2628
2	-0.34778	-0.88344	-0.53681	-0.1392
2	-1.8429	-1.7447	-1.2394	0.076896
2	0.19618	1.4064	0.26418	1.4885
1	1.1131	-0.28387	-0.062115	-0.38574
2	0.49115	0.78076	1.4226	0.55504
1	-1.8202	-1.2481	-2.3751	-1.7518
2	1.2174	2.2183	1.4501	3.6806
1	-1.9377	-1.6646	-3.3068	-2.1189
2	0.54181	0.5947	0.58072	0.40033
1	-0.66287	-0.68746	-0.096024	-1.7397
1	0.40851	0.30851	-0.17237	-0.50364
2	0.75742	0.4505	-0.78196	0.44425
1	-1.4505	0.020384	-0.43303	-0.95328
2	-0.028847	0.15037	0.5137	0.46568
2	-0.63541	0.3954	-0.8684	1.5549
1	0.33942	-0.38445	-0.041492	-1.4867
2	0.47366	1.145	0.23226	1.7193
1	0.023382	-0.041247	-0.82666	0.080651
1	-1.1404	-1.0549	-2.3807	-2.1069
2	0.33731	1.2985	0.71006	3.2157
1	1.14	-0.87596	0.068296	-0.74487
2	-0.049493	0.63	0.61696	0.5656
1	-0.4566	0.65674	0.031943	0.92164
2	0.017518	0.38805	0.53672	0.36798
2	0.48676	0.83957	0.81814	1.0935
2	2.7892	2.4059	4.9329	2.8726
1	0.43253	0.11799	1.095	-0.30789
1	-1.1828	-0.8044	-0.85393	-0.88528
1	-1.5592	-2.1209	-2.309	-3.1197
2	-1.2601	-1.2767	-1.6618	-0.50383
2	2.1516	2.1742	2.8387	1.8793
2	0.24623	0.69241	-0.010176	0.53935
1	-0.22259	-0.40572	0.11176	-1.348
1	-0.50134	-1.5699	0.070888	-1.576
1	-0.59262	-0.25483	-0.97248	-0.80873
2	0.59278	2.3224	1.2169	3.7789
2	1.8088	2.2184	2.3414	2.2607
1	-1.4547	-0.92385	-2.0514	-1.4636
1	-1.0861	-0.97609	-1.4805	0.049658
2	-1.3983	-1.4913	-1.5386	-0.37917
1	0.39015	-0.60643	0.29969	-1.038
2	-0.56574	0.93819	0.41397	3.0029
1	0.33141	0.18418	-0.58313	-0.55312
1	-1.0672	-1.2348	-1.7643	-1.8829
1	-2.6167	-2.6369	-2.7652	-3.2899
2	0.86111	1.9481	1.9289	2.6912
2	-0.17146	0.59905	-0.32254	0.90592
1	0.56296	0.22567	0.50046	-0.015986
1	0.27356	0.014082	0.53515	-1.2915
2	0.028483	0.74312	0.032785	0.86451
2	0.45844	1.8271	1.9607	1.5293
1	-1.0948	-0.81939	-1.3227	-1.7485
2	-1.9435	-1.416	-2.3622	-0.083073
2	1.9356	2.3905	3.3874	3.3754
2	-0.51503	-0.61825	-1.0265	1.0355
1	-0.069375	-0.38404	0.76998	-1.0565
1	-0.99145	-1.4551	-0.3469	-1.1237
2	0.22687	0.42981	-0.57465	1.7352
1	-0.6192	-0.85621	-1.5754	-2.1116
2	0.044283	0.22217	-0.46803	0.077448
2	0.25206	0.75089	2.0777	1.6582
1	-1.4421	0.36925	-1.3094	1.5023
2	-0.37483	0.92607	0.66991	1.5735
2	0.96079	1.4626	2.6634	1.8589
1	-1.3318	-0.19963	-1.0137	-0.69936
1	1.7601	1.2466	2.176	0.32938
1	0.30315	-0.016251	0.51713	-0.89472
2	-1.4913	-0.70336	-0.91095	0.12156
2	-0.42001	-0.10023	-0.6748	0.60273
2	1.3951	2.7444	2.8842	3.5656
1	1.4232	0.6032	3.5048	1.7782
1	0.73551	0.75694	1.037	-0.57807
2	-0.39931	0.58809	-0.4973	0.21019
2	1.3913	1.8648	1.7568	0.93599
2	0.80965	0.4027	0.24317	1.9104
1	-0.51752	1.1244	0.48382	0.33224
1	0.1481	-0.5792	-0.3214	-0.26037
1	-1.3533	-0.43213	-0.42417	-0.87353
2	0.56938	0.99576	0.89716	1.7409
1	-0.079763	-1.7127	-0.63871	-2.5791
2	2.0641	2.5514	4.0436	2.7148
1	-0.19435	-0.15077	0.60547	-1.4134
2	0.081749	0.54813	0.96427	1.7548
1	1.8213	0.88012	1.1502	0.10288
2	-0.36776	1.0119	0.72045	1.4314
2	-0.013532	0.88042	-0.065303	1.2714
1	-0.46271	-1.5631	-1.3127	-1.5945
2	0.32816	0.69476	1.2058	0.95562
2	1.0995	1.9791	1.6754	2.7251
2	1.2894	2.0428	2.7797	3.0741
2	0.086177	0.13431	0.15097	1.1387
2	1.4238	1.8326	1.452	2.2914
2	-0.26067	0.085743	0.10703	1.6861
1	0.8651	0.16132	1.2287	-0.49648
2	1.6258	2.0722	1.5768	2.692
2	-0.41045	-0.064344	-1.1639	0.35736
1	0.87048	0.48066	1.3185	0.56768
1	-0.059767	0.65175	0.20121	-1.4305
1	-0.27649	-0.71256	-0.93355	0.12948
2	0.40298	0.62103	0.38596	1.4175
2	0.92929	1.4075	2.4664	1.9966
1	-1.7047	-1.5666	-1.9704	-2.1459
2	-0.31907	0.39015	-0.094609	0.63235
2	1.43	2.3977	3.1491	2.2081
1	-1.6535	-0.62255	-1.1695	-0.61433
2	-0.22619	-0.15443	0.80091	-0.054849
2	0.38626	1.6316	0.47058	1.4147
1	0.14484	-0.64224	0.0082434	-0.86504
2	1.8557	2.0853	3.4931	3.3653
2	1.9842	3.3837	3.9431	2.2935
1	-1.8676	-0.25935	-1.384	-0.46349
2	1.1631	1.8748	2.8603	1.986
2	0.28825	0.24785	1.285	0.97497
1	0.014074	-0.43179	0.47159	-1.5869
2	0.54993	1.3186	0.45672	1.4753
1	0.36038	-0.17131	0.38497	0.032798
2	-0.80787	0.028976	0.37316	-0.44677
2	-0.28951	0.65841	-0.64075	1.0972
2	0.55213	0.20033	-0.03155	-0.76611
2	-0.39724	0.7762	0.84015	0.7553
1	0.93813	0.87454	1.4003	-1.3907
2	-0.32578	0.26563	-0.33416	1.6042
2	0.33084	1.2848	1.0439	0.0011286
2	-0.38575	0.17469	-0.30238	1.5178
2	1.3498	1.2703	1.9845	1.5933
2	0.58348	1.167	1.0504	1.1296
1	1.082	0.6528	0.81685	-0.23314
2	2.4742	2.4752	3.1153	2.9547
2	0.12754	0.025728	-0.058504	0.58213
2	1.817	2.0622	1.4037	1.1949
2	0.8552	1.6038	1.0049	2.2411
1	-1.0052	-1.0198	-0.48341	-2.5176
1	-1.3895	-1.8934	-2.3298	-1.8805
2	-1.0276	0.3109	-0.56926	0.026187
1	-1.3081	-0.57127	-2.0782	-2.0429
2	0.50882	-0.20697	0.013231	1.1618
1	-0.9931	-1.3226	-0.98672	-0.47612
1	0.41926	-0.14847	0.91577	-1.2763
1	-0.93098	-1.0248	-2.0666	-0.55364
1	-0.25192	-0.73885	0.073947	-0.4339
1	-0.6545	-0.21517	-1.3672	-1.5453
2	1.6327	2.0072	2.554	2.6639
2	0.57601	-0.3015	0.74417	0.88943
2	1.2264	1.7475	0.67207	1.0271
1	0.42271	0.040673	0.80654	-0.83604
1	-0.67361	-0.91976	-2.2619	-1.3054
2	0.36815	0.93526	1.3126	1.077
2	-0.1728	0.32075	0.54531	1.9659
2	1.8385	2.4279	3.2285	3.4634
1	-1.4314	-0.89679	-1.154	-1.4032
2	0.38846	0.05761	1.0422	1.9036
1	0.80821	-0.15658	-0.62623	-0.68719
1	-1.302	-1.3887	-2.2708	-2.092
