From	To
TraitA_T1	Genotype
TraitB_T1	Genotype
TraitC_T1	Genotype
TraitA_T2	Genotype
TraitB_T2	Genotype
TraitC_T2	Genotype
TraitA_T3	Genotype
TraitB_T3	Genotype
TraitC_T3	Genotype
TraitA_T1	Genotype
TraitB_T1	Genotype
TraitC_T1	Genotype
TraitA_T2	TraitA_T1
TraitA_T2	TraitB_T1
TraitA_T2	TraitC_T1
TraitB_T2	TraitA_T1
TraitB_T2	TraitB_T1
TraitB_T2	TraitC_T1
TraitC_T2	TraitA_T1
TraitC_T2	TraitB_T1
TraitC_T2	TraitC_T1
TraitA_T3	TraitA_T1
TraitA_T3	TraitB_T1
TraitA_T3	TraitC_T1
TraitB_T3	TraitA_T1
TraitB_T3	TraitB_T1
TraitB_T3	TraitC_T1
TraitC_T3	TraitA_T1
TraitC_T3	TraitB_T1
TraitC_T3	TraitC_T1
TraitA_T2	Genotype
TraitB_T2	Genotype
TraitC_T2	Genotype
TraitA_T2	TraitA_T1
TraitA_T2	TraitB_T1
TraitA_T2	TraitC_T1
TraitB_T2	TraitA_T1
TraitB_T2	TraitB_T1
TraitB_T2	TraitC_T1
TraitC_T2	TraitA_T1
TraitC_T2	TraitB_T1
TraitC_T2	TraitC_T1
TraitA_T3	TraitA_T2
TraitA_T3	TraitB_T2
TraitA_T3	TraitC_T2
TraitB_T3	TraitA_T2
TraitB_T3	TraitB_T2
TraitB_T3	TraitC_T2
TraitC_T3	TraitA_T2
TraitC_T3	TraitB_T2
TraitC_T3	TraitC_T2
TraitA_T3	Genotype
TraitB_T3	Genotype
TraitC_T3	Genotype
TraitA_T3	TraitA_T1
TraitA_T3	TraitB_T1
TraitA_T3	TraitC_T1
TraitB_T3	TraitA_T1
TraitB_T3	TraitB_T1
TraitB_T3	TraitC_T1
TraitC_T3	TraitA_T1
TraitC_T3	TraitB_T1
TraitC_T3	TraitC_T1
TraitA_T3	TraitA_T2
TraitA_T3	TraitB_T2
TraitA_T3	TraitC_T2
TraitB_T3	TraitA_T2
TraitB_T3	TraitB_T2
TraitB_T3	TraitC_T2
TraitC_T3	TraitA_T2
TraitC_T3	TraitB_T2
TraitC_T3	TraitC_T2
