Genotype	TraitA_T1	TraitA_T2	TraitA_T3	TraitB_T1	TraitB_T2	TraitB_T3	TraitC_T1	TraitC_T2	TraitC_T3
2	1	1	1	1	1	1	1	1	1
1	1.4297	-0.13715	-0.33041	1.3972	-0.17802	1.0272	-1.322	0.0027715	0.85527
1	2.0687	-2.5819	-0.71386	-0.25338	0.64604	-0.25402	-1.1947	0.60348	1.5977
2	0.52771	0.19656	0.40967	0.039336	1.57	-0.036341	-1.6301	-0.15434	0.93397
1	1.7929	-0.85399	-0.21102	0.36528	0.14997	-0.072283	0.25214	1.8044	1.4149
1	-0.090929	-0.17288	-2.808	0.79192	-1.5175	-0.90041	0.39689	-0.18146	-0.55432
1	0.86086	-0.049472	-0.82074	0.18954	0.51157	0.30995	-0.50952	-0.047852	0.25632
1	0.37794	-0.49737	-1.5634	-0.61123	-1.6172	-0.025387	-0.50463	1.0061	-0.55909
1	0.061886	-1.3173	-0.38674	0.66584	0.023432	-1.0821	0.14268	-0.21189	-0.60498
1	0.96427	-1.6652	-0.61177	-0.295	0.12641	-1.6644	-1.0372	0.033566	1.3366
2	0.16295	0.59047	0.7747	-0.32623	1.6996	-0.042892	-0.0034198	-0.30944	0.67765
1	1.7419	-0.94567	-1.8121	0.80385	0.23144	-1.4004	2.0605	-0.83835	1.3823
2	-0.92772	0.34934	0.87438	-0.62792	0.7641	-0.5865	0.24522	0.6353	-0.0017539
2	-2.9367	1.609	2.0928	0.61651	-2.0775	-0.24164	-0.3587	-0.95545	-3.0393
1	0.52613	0.43773	0.75866	0.73066	0.46388	-1.4681	-1.5908	1.6872	0.89314
2	-0.10721	1.7759	1.6821	-0.56868	1.6447	-0.92002	-0.27447	-0.62549	0.91373
1	-1.073	-1.8228	-0.34751	-0.54007	-1.7593	-0.7431	0.61821	-0.054988	-1.7414
2	-1.0532	1.0319	1.0531	-0.09473	-0.82174	0.45084	-0.38299	-0.6361	-0.90619
1	1.7064	-1.8984	-2.6061	0.99661	-0.67065	0.17936	0.97103	0.38751	-0.11531
2	-3.2527	-1.1361	0.56795	-0.39584	-1.5189	-1.7637	1.2149	-1.3971	-1.8622
1	2.3471	-2.1036	-2.092	1.544	-0.21178	0.3446	1.0474	-0.64427	0.73628
2	-0.63792	1.3156	0.92169	-0.67815	1.4089	1.1938	0.82905	0.16566	0.09164
2	-2.0379	0.74861	0.16368	0.58693	-0.67589	0.81824	0.33633	-0.19727	-1.243
2	-1.7441	2.4915	0.89809	-1.0265	0.35767	-1.159	0.63023	0.97341	0.29971
2	-1.9637	0.94259	1.169	1.9451	-0.96485	0.49152	-1.1393	-1.2415	-0.58885
2	-1.0536	2.4253	0.94996	-2.3874	0.23825	0.224	-0.073329	-1.2231	-0.24801
1	-0.032849	-1.1426	-1.1507	-0.10711	-1.6383	-0.80394	1.5126	0.28303	0.083105
