Genotype	TraitA_T1	TraitA_T2	TraitA_T3	TraitB_T1	TraitB_T2	TraitB_T3	TraitC_T1	TraitC_T2	TraitC_T3	
0.000000	1.000000	1.000000	1.000000	0.048181	1.000000	0.000000	0.008486	0.000000	0.000000	
0.000000	0.000000	0.125496	0.031272	0.018658	1.000000	0.010369	0.010548	0.064699	1.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010256	0.000000	0.018179	0.038732	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010700	0.000000	0.000000	0.000000	
0.000000	0.000000	0.041559	0.000000	0.000000	0.000000	0.011348	0.000000	0.009653	0.027519	
0.000000	0.000000	0.000000	0.012552	0.000000	0.000000	0.010464	0.000000	0.017873	1.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.023996	
0.000000	0.000000	0.000000	0.000000	0.010647	0.000000	0.032409	0.000000	0.435382	0.032829	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011094	0.000000	0.000000	0.047523	
0.000000	0.000000	0.000000	0.236851	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
