Starts	Dist	SpkQual	MFuse	Alter	Starter	StMotor	BatAge	Charging	PlugVolt	BatVolt	Timing	Cranks	Plugs	AirFilter	Air	Fuel	GasTank	GasFilter
2	2	2	2	2	2	2	1	2	3	3	2	2	3	2	2	2	2	2
2	2	2	2	2	2	2	1	2	3	3	2	2	3	2	2	2	2	2
1	1	1	1	1	1	1	1.09219	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	2	1	8.35719	1	3	3	1	2	1	1	1	2	1	1
2	1	1	1	1	2	1	4.87697	1	1	1	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	3.40886	2	3	3	1	2	1	1	1	2	1	1
1	1	1	1	1	1	1	0.823531	1	1	1	1	1	1	1	1	2	1	1
1	1	1	1	1	1	1	1.29151	1	1	1	1	1	1	1	1	1	1	1
2	1	1	1	1	1	1	3.2245	1	1	1	1	2	1	1	1	2	1	1
2	2	2	1	1	2	1	3.32396	1	3	1	2	2	2	1	2	1	1	1
2	1	2	1	1	2	1	4.81455	2	3	3	1	2	3	1	1	1	1	1
2	1	2	1	1	1	1	1.8855	2	2	2	2	1	1	2	2	1	1	1
2	1	2	1	1	2	1	3.16074	2	3	3	1	2	1	1	1	1	1	1
2	1	1	1	1	1	1	1.32025	1	1	1	2	1	1	1	2	1	1	1
2	1	1	1	1	1	1	0.725881	1	1	1	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	9.15429	2	3	3	1	2	1	1	2	2	1	2
2	1	2	1	1	1	1	1.29503	2	3	2	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1.55555	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	0.899695	2	1	1	1	1	1	2	2	1	1	1
2	1	2	1	1	2	1	0.972723	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	3.62187	2	3	3	2	2	3	1	1	1	1	1
1	1	2	1	1	1	1	7.11136	1	1	1	1	1	2	1	1	1	1	1
1	1	1	1	1	1	1	1.10928	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	2	1	2.61643	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	6.2605	1	2	2	1	2	1	1	2	1	1	1
2	1	2	1	1	2	1	8.55173	1	1	1	1	2	3	1	1	1	1	1
1	1	1	1	1	1	1	1.86787	1	1	1	1	1	1	1	1	1	1	1
