From	To
aquatic	airborne
aquatic	venomous
aquatic	predator
aquatic	domestic
airborne	aquatic
airborne	venomous
airborne	predator
airborne	domestic
venomous	aquatic
venomous	airborne
venomous	predator
venomous	domestic
predator	aquatic
predator	airborne
predator	venomous
predator	domestic
domestic	aquatic
domestic	airborne
domestic	venomous
domestic	predator
eggs	aquatic
eggs	airborne
eggs	venomous
eggs	predator
eggs	domestic
milk	aquatic
milk	airborne
milk	venomous
milk	predator
milk	domestic
backbone	aquatic
backbone	airborne
backbone	venomous
backbone	predator
backbone	domestic
breathes	aquatic
breathes	airborne
breathes	venomous
breathes	predator
breathes	domestic
catsize	aquatic
catsize	airborne
catsize	venomous
catsize	predator
catsize	domestic
tail	aquatic
tail	airborne
tail	venomous
tail	predator
tail	domestic
toothed	aquatic
toothed	airborne
toothed	venomous
toothed	predator
toothed	domestic
hair	aquatic
hair	airborne
hair	venomous
hair	predator
hair	domestic
feathers	aquatic
feathers	airborne
feathers	venomous
feathers	predator
feathers	domestic
fins	aquatic
fins	airborne
fins	venomous
fins	predator
fins	domestic
legs	aquatic
legs	airborne
legs	venomous
legs	predator
legs	domestic
type	aquatic
type	airborne
type	venomous
type	predator
type	domestic
eggs	aquatic
eggs	airborne
eggs	venomous
eggs	predator
eggs	domestic
milk	aquatic
milk	airborne
milk	venomous
milk	predator
milk	domestic
backbone	aquatic
backbone	airborne
backbone	venomous
backbone	predator
backbone	domestic
breathes	aquatic
breathes	airborne
breathes	venomous
breathes	predator
breathes	domestic
catsize	eggs
catsize	milk
catsize	backbone
catsize	breathes
tail	eggs
tail	milk
tail	backbone
tail	breathes
toothed	eggs
toothed	milk
toothed	backbone
toothed	breathes
hair	eggs
hair	milk
hair	backbone
hair	breathes
feathers	eggs
feathers	milk
feathers	backbone
feathers	breathes
fins	eggs
fins	milk
fins	backbone
fins	breathes
legs	eggs
legs	milk
legs	backbone
legs	breathes
type	eggs
type	milk
type	backbone
type	breathes
catsize	tail
catsize	toothed
catsize	hair
catsize	feathers
catsize	fins
catsize	legs
tail	catsize
tail	toothed
tail	hair
tail	feathers
tail	fins
tail	legs
toothed	catsize
toothed	tail
toothed	hair
toothed	feathers
toothed	fins
toothed	legs
hair	catsize
hair	tail
hair	toothed
hair	feathers
hair	fins
hair	legs
feathers	catsize
feathers	tail
feathers	toothed
feathers	hair
feathers	fins
feathers	legs
fins	catsize
fins	tail
fins	toothed
fins	hair
fins	feathers
fins	legs
legs	catsize
legs	tail
legs	toothed
legs	hair
legs	feathers
legs	fins
catsize	aquatic
catsize	airborne
catsize	venomous
catsize	predator
catsize	domestic
tail	aquatic
tail	airborne
tail	venomous
tail	predator
tail	domestic
toothed	aquatic
toothed	airborne
toothed	venomous
toothed	predator
toothed	domestic
hair	aquatic
hair	airborne
hair	venomous
hair	predator
hair	domestic
feathers	aquatic
feathers	airborne
feathers	venomous
feathers	predator
feathers	domestic
fins	aquatic
fins	airborne
fins	venomous
fins	predator
fins	domestic
legs	aquatic
legs	airborne
legs	venomous
legs	predator
legs	domestic
catsize	eggs
catsize	milk
catsize	backbone
catsize	breathes
tail	eggs
tail	milk
tail	backbone
tail	breathes
toothed	eggs
toothed	milk
toothed	backbone
toothed	breathes
hair	eggs
hair	milk
hair	backbone
hair	breathes
feathers	eggs
feathers	milk
feathers	backbone
feathers	breathes
fins	eggs
fins	milk
fins	backbone
fins	breathes
legs	eggs
legs	milk
legs	backbone
legs	breathes
type	catsize
type	tail
type	toothed
type	hair
type	feathers
type	fins
type	legs
type	aquatic
type	airborne
type	venomous
type	predator
type	domestic
type	eggs
type	milk
type	backbone
type	breathes
type	catsize
type	tail
type	toothed
type	hair
type	feathers
type	fins
type	legs
