Genotype	Trait1	Trait2	Trait3	Phenotype
A	0.969	3	3.25	1.0
NA	0.925	1.6	2.46	1.03
B	0.427	NA	4.20	0.83
A	0.877	8.3	3.76	0.96
A	0.914	4.4	3.69	1.04
A	0.560	4.9	2.60	0.98
B	0.383	13.1	4.27	0.81
B	0.101	18.6	5.08	0.77
B	0.106	18.9	4.91	0.80
A	0.894	2.5	2.69	0.99
B	0.067	19.8	4.87	0.84
A	0.921	2.9	4.12	1.03
A	0.938	0.7	4.36	0.98
B	0.658	15.7	4.53	0.88
A	0.9	4.8	2.60	0.91
A	0.790	10.4	2.39	0.89
B	0.295	8.6	4.24	0.85
A	0.317	12.2	4.44	0.88
B	0.032	20.2	5.05	0.81
B	0.603	23.4	4.28	0.80
A	0.939	3.6	2.34	0.95
B	0.978	0.4	3.49	0.88
B	0.1	23.2	4.67	0.76
B	0.036	32.6	4.93	0.82
B	0.660	9.2	3.82	0.92
B	0.078	35.8	4.51	0.85
B	0.186	20.7	5.04	0.77
B	0.071	35.6	4.57	0.79
B	0.239	15.4	4.33	0.94
B	0.205	24.5	5.05	0.77
B	0.062	13.4	4.59	0.83
A	0.599	5	4.18	0.96
B	0.324	13.2	4.25	0.85
B	0.876	14.2	2.92	0.86
B	0.146	15.6	4.57	0.9
B	0.257	22.5	5.21	0.75
B	0.033	31.1	4.63	0.71
B	0.297	36.1	3.88	0.79
A	0.872	4.2	4.09	0.85
A	0.909	4.3	3.65	0.97
B	0.100	28.3	4.46	0.75
