Trait5	Geno2	Trait6	Trait3	Geno1	Trait2	Trait4	Trait1	
1.8453	1	-0.70749	-1.3361	1	1.5443	-0.43784	0.72817
0.9605	2	0.85158	1.5164	2	-1.1632	1.0263	-0.11444
-0.63336	2	0.53936	1.1602	2	-0.74229	1.4011	-1.5418
1.3355	1	-1.7216	-0.76715	2	0.12195	-0.66179	0.098918
0.36111	1	-0.74876	-0.98283	2	-2.0753	-1.2335	-0.99306
-1.177	2	0.51257	0.84261	2	0.065663	1.2658	-0.64706
0.076305	2	1.5888	1.7606	2	-0.66331	1.4736	0.39036
-0.53841	1	0.11031	-1.5038	2	0.23456	-0.060179	0.14069
-0.59968	2	0.48834	1.0431	2	-0.59377	0.22579	-0.99995
0.37839	2	1.293	0.49142	2	-1.2855	0.37537	0.50769
-0.98262	2	1.6051	0.57702	1	0.44497	0.92494	1.9399
-0.32154	2	1.0249	0.77512	2	-0.62075	0.32547	1.8131
0.094471	2	1.0318	1.5671	1	-0.60413	0.75183	-1.4871
-0.2677	1	-1.3762	-0.039045	1	0.61004	-0.20296	-0.34358
1.45	1	0.22686	-0.18131	2	-0.5462	-0.61255	-0.83466
-0.94296	1	-1.0223	-1.1896	2	-0.4021	-1.2644	-1.2829
-0.65504	1	-2.6825	-1.035	2	0.25776	-1.4615	0.8459
1.3635	2	1.5647	0.59499	1	1.372	1.0621	0.74488
0.60321	2	0.68692	1.4714	1	0.81867	1.711	0.90076
-0.5142	1	-1.0962	-1.5522	2	-0.04535	-1.2401	-0.62324
-1.2303	2	0.82027	1.0532	1	-0.12811	1.344	0.60502
0.84008	1	-0.7159	-0.44987	2	-0.56344	-1.5572	1.0854
0.47761	2	1.5622	1.2168	2	-0.30596	1.1251	-1.373
-1.3546	1	-0.7484	-0.096654	2	0.03293	0.23078	0.81596
-0.32954	1	-1.6183	-0.57119	2	-0.9399	-1.5734	-0.76397
0.57841	2	0.24378	0.681	2	-0.7778	1.305	0.77764
0.11524	1	-0.85367	0.35424	1	2.3096	0.75697	1.7574
1.1463	1	0.0096586	-0.25741	2	-0.52081	-1.5513	0.645
-1.3926	1	-0.88863	-0.68795	1	0.0060478	-0.43763	0.97176
-0.34841	2	1.0004	0.23941	2	-0.83161	0.87503	-0.88976
0.79176	2	0.59541	1.0092	2	-1.9591	0.77295	0.31236
-1.7691	1	0.055429	-1.1837	1	1.1172	-0.091192	1.3242
0.23812	1	-0.13588	-0.98943	2	-0.041159	-0.43704	-0.39798
1.4262	2	0.46298	1.327	2	0.15808	1.1741	-0.073986
1.3584	2	1.5511	0.49802	2	-0.96618	-0.037384	0.26962
-0.45407	1	-0.11918	-0.20984	2	-0.84764	0.68704	0.15697
1.3502	2	1.1228	1.7003	2	-0.34181	1.3601	0.19833
0.51265	1	0.059243	-0.61724	2	-1.2675	-1.2719	-1.5491
1.6144	1	-1.6767	-0.4403	1	-0.7614	0.046076	-0.67463
-0.99883	1	-0.76648	0.33667	1	0.97148	-1.1389	-0.1179
0.24789	2	0.4729	1.0484	2	-0.62124	0.34555	-0.089509
1.6957	1	0.014711	-1.3474	2	-0.026706	-1.4606	-1.4344
-0.54533	2	0.88108	1.3793	2	-0.29202	1.3706	-1.1715
-1.7381	2	0.16189	0.96739	2	-0.77438	0.96572	1.2346
-0.844	1	-1.0713	-0.50552	1	1.1809	-0.13536	3.0986
-1.8946	2	0.83747	0.55294	2	0.21042	0.78685	-0.41598
-1.2313	2	0.77672	1.7131	2	-0.38666	1.694	-0.79748
-0.7674	1	-1.151	-0.091205	2	0.9644	-0.57897	0.21363
0.72057	1	-0.34897	-0.95934	2	-1.3832	-0.57841	-0.10753
1.2095	1	0.5788	-0.77644	1	0.86817	-0.56945	0.13453
0.09126	2	1.0274	0.59902	2	0.094442	0.30723	1.2562
-1.7398	2	0.67041	0.82202	2	-0.30164	0.94827	-0.94319
-0.66818	2	0.49087	1.2694	2	-0.18615	0.78217	-1.3246
-0.2258	1	-1.4193	-1.44	2	-1.5421	-1.6216	-0.34894
1.4939	1	0.12307	-0.97417	1	-1.9058	-1.6405	-2.6656
0.59683	1	-0.27561	-1.5921	2	-0.012339	-1.033	0.22491
0.32502	2	1.8115	0.59888	2	-0.78178	0.37072	-1.5605
0.33627	1	-0.54037	-0.092937	2	-0.23801	-0.28432	0.25603
-0.71947	1	-0.96292	-0.87226	1	1.0454	-1.1866	-1.1159
0.7723	1	-0.74389	-0.31293	1	0.56738	-1.597	0.21894
1.1117	2	0.22881	0.53378	2	0.28362	0.62928	-0.5678
-0.37072	2	1.1896	1.2033	1	1.7889	1.9867	-1.137
1.9537	1	-1.2797	-1.1399	2	-0.45995	-1.6282	-0.33916
-1.1043	2	1.0871	2.3039	1	-0.27611	0.615	0.27212
