Genotype	Gene1	Gene2	Gene3	Phenotype
2	1.5856	0.55564	0.55242	1.3139
1	-0.14146	-0.086375	0.05189	0.26111
1	-2.0948	-1.9791	-2.3238	-1.9991
2	0.17613	0.89772	0.49798	0.22116
2	0.78313	0.87637	0.9285	1.0858
1	-1.9728	-0.75695	-2.2369	-1.7399
2	1.775	1.3178	1.3167	1.3973
2	-1.2714	-1.1835	-1.412	-0.74772
1	-0.95992	-0.81845	-1.035	-0.8709
1	-0.18008	-0.1963	-0.055655	-0.68638
1	-0.91878	-0.18406	-0.17584	0.70088
2	0.97168	0.96167	0.82445	1.2612
2	0.10034	0.25263	-0.176	-0.070045
2	1.1077	-0.019582	0.14083	0.13839
2	-0.41046	-0.86671	-1.0513	-1.0183
1	-0.044187	0.39571	1.0857	0.39
2	0.57588	0.19049	0.078282	-0.47325
2	1.9464	2.0841	1.8318	1.9802
2	0.46321	1.3578	1.021	1.8771
2	1.9167	1.3101	-0.26599	0.90469
2	-0.42985	0.239	-0.52662	-0.55523
2	1.0403	0.52601	0.017946	-0.012835
1	0.17842	0.6498	-0.016231	0.78005
1	-0.11593	-0.7273	-0.52064	-0.20907
1	-0.86376	-0.17876	0.18035	0.28076
1	-0.24186	0.12528	-0.10569	0.65779
2	-1.8571	-0.8041	-0.85423	-1.269
1	0.39789	0.75178	0.27755	0.48727
2	0.99021	1.2864	1.0158	1.1339
2	-0.088439	0.55644	0.65845	-0.59516
1	-0.72831	-0.30015	0.12644	0.066757
1	-0.15252	-0.010712	-0.22172	-0.55251
2	-0.21235	-0.41475	-0.2187	-0.86341
1	-0.90534	-1.1265	-0.60156	-0.20972
1	-0.67136	-1.2743	-0.3504	0.013198
2	1.4111	0.6435	0.17169	-0.29794
1	-1.2221	-0.67226	0.090401	0.70241
2	-0.88346	-1.0499	-1.3199	-1.0976
1	-0.48936	-0.54771	0.15673	0.8105
2	1.5049	1.594	0.84865	0.72178
1	-0.25056	0.48341	1.2365	1.1092
1	0.13811	-0.58507	-0.95885	-0.61738
1	-0.87264	-0.74791	-1.5181	-1.5901
2	0.14211	0.6369	0.79376	-0.013034
1	-0.24481	-0.44524	1.3187	0.82025
2	0.575	-0.19314	-0.21002	0.55724
2	2.0744	2.2796	1.3816	0.80652
1	-1.6975	-0.79061	-0.99359	-1.0838
2	0.42545	0.97151	1.074	0.99115
1	0.29156	-0.16409	-0.53984	-0.53165
2	0.78744	1.2463	1.1759	0.90476
1	-0.73362	-0.4152	-1.4738	-1.0017
2	0.69579	0.32557	0.81668	-0.18071
2	-0.65341	-0.15034	-0.46282	-0.28704
1	-0.3013	-0.46826	-0.71627	0.77452
2	0.27929	0.34128	0.016051	0.31568
2	1.2053	0.71997	0.52138	0.6513
1	-1.2758	-1.53	-0.9493	-1.3122
1	-0.4496	-0.49077	-0.58312	0.11437
1	-1.194	0.078558	0.99998	1.1906
2	1.1676	1.0917	1.4231	0.82601
1	-2.4133	-1.7221	-1.4154	-2.3105
1	-1.7349	-0.74588	0.70923	1.3554
1	-1.0066	-1.2307	-1.2772	-1.9247
1	-1.3599	-1.67	-1.0942	-0.88947
1	-0.85031	-0.50545	0.13251	-0.29438
2	1.1295	2.2709	1.5821	0.87414
2	0.9404	2.2201	2.5706	2.2827
2	1.2878	1.2808	1.2341	1.2212
2	1.5657	1.6979	0.60126	0.016343
1	-0.78161	-1.4101	-2.1212	-1.1646
2	2.3684	2.4021	2.9528	2.8997
2	1.4198	1.2756	1.2308	1.8256
2	1.3385	1.1619	0.18614	0.5299
1	-2.2351	-2.4864	-2.3812	-2.5204
1	0.37027	0.84279	1.4497	0.66466
2	0.38854	0.62781	-0.7411	-0.30425
1	-1.4175	-0.93246	-0.86942	-0.75437
2	2.7513	1.8671	1.9679	0.70267
1	-0.24862	-0.46954	0.23864	-0.22039
1	-1.1683	-1.126	-1.0483	-1.022
2	0.88699	0.86321	1.4423	1.129
1	0.58503	0.35468	0.52394	-0.072378
2	2.6145	2.5218	2.7014	2.961
1	-0.96916	-1.0452	-2.339	-2.3466
2	-0.0037206	0.30223	0.74529	0.88013
1	-1.0392	0.2696	-0.79208	-0.39101
2	1.1444	0.69938	1.0147	1.0175
1	-1.1242	-0.92379	-0.55404	0.022141
1	-0.71288	-1.4036	-0.31533	-0.49676
2	-0.26151	-0.10382	0.19007	-0.14386
1	-0.36388	0.073868	0.61075	0.53165
2	2.5483	2.4476	2.352	1.7179
1	-1.7286	-0.55338	-0.49819	-0.9883
2	1.8232	1.3801	1.0019	1.2709
1	-0.40236	-0.7928	0.45495	0.23383
2	0.70371	0.36383	0.67957	0.52054
2	0.64323	0.16274	-0.5004	-0.65457
2	1.5133	0.82002	0.70034	1.6914
2	0.63141	0.38158	0.58788	-0.66281
