Genotype	Gene1	Gene3	Gene2	Phenotype
2	-1.196	-1.0008	-0.44837	0.21808
1	-0.10136	-0.29368	-0.53043	-1.0893
2	-0.42907	0.70835	0.72886	-0.18098
1	0.1425	0.63703	0.86428	1.7013
1	-0.71634	-1.2402	-0.69712	-1.7002
1	-1.0965	-1.1952	0.27155	-0.79413
2	0.6135	0.62914	0.94265	1.8385
1	-1.0924	-1.91	-2.379	-3.1094
2	1.335	-0.83436	-0.90968	-1.3598
1	-1.3309	0.15685	0.4766	1.2891
2	1.2821	0.7047	1.0623	1.9811
1	-0.8844	0.59747	-0.023123	0.88555
1	-0.77687	-1.0557	-1.5548	-1.3016
2	1.8089	1.5206	2.0289	0.90366
1	0.41863	0.65525	-0.47226	-1.1824
2	0.40947	-0.39262	0.382	-0.64829
2	0.69647	0.14966	0.22972	0.33797
1	-0.78961	-1.8836	-0.68534	-0.99941
1	0.16835	0.48181	0.01241	1.2145
2	2.5234	1.4673	2.0438	2.4674
1	-0.31044	-1.3242	-0.80218	-1.6446
1	-1.937	-1.2471	-2.0351	-1.0296
1	-0.16484	0.23695	-0.01724	-0.32851
1	-0.95538	-0.13986	-0.6065	-0.8491
2	1.3507	0.90888	1.0365	2.7222
1	-2.2006	-0.30556	-1.1546	-0.86033
2	1.1575	0.5391	0.99532	0.96947
2	0.94362	1.1235	0.37982	0.64439
2	1.9158	1.7073	1.9303	2.8018
1	-1.0697	-0.20553	-0.074104	-0.50073
1	-0.11286	-0.27415	0.23076	-0.27564
1	-1.3462	-1.304	-1.1213	-0.71793
2	1.2432	0.54315	0.55846	0.87411
1	-2.0927	-1.0659	-0.38067	-1.4372
1	-0.72751	0.21278	-1.0115	-1.0984
1	-2.0448	-2.9061	-1.3118	-3.8372
2	0.12181	-0.69608	-0.61145	-1.0037
1	-1.4165	0.66835	0.018886	-1.0081
1	-0.40914	0.32575	-0.51767	1.0187
2	2.2906	0.65837	1.2791	1.8388
2	1.2643	0.37574	0.21618	-0.89435
1	0.77712	0.13513	-0.31405	-0.16057
2	1.6374	0.16054	0.40635	0.036165
1	1.1933	1.9393	1.5717	2.6922
1	-1.5576	-0.59118	-0.47154	-0.20293
1	0.61043	-0.35938	-0.49565	-0.20837
2	0.43312	-0.57133	0.15921	-0.44158
1	0.17685	0.31835	0.49002	2.2029
1	-1.6905	-0.0093708	-0.85889	-1.0934
1	-1.828	-0.90501	-1.4637	-1.5526
2	0.8607	0.11531	-0.022781	0.88843
1	-0.056177	0.34978	-0.34306	0.95301
2	0.18027	-0.22236	-0.13023	0.37608
1	-0.78153	-0.90103	-0.38393	-1.1513
2	3.3654	0.66848	0.81005	1.3945
2	0.63865	0.10539	0.59781	0.77864
1	-1.6867	-1.15	-1.4531	-2.929
1	-0.31459	0.20842	-0.0039076	-0.12879
2	1.9656	0.52155	1.248	1.0411
2	1.0289	0.041926	0.86223	1.2222
1	-0.77456	-0.70875	-0.15791	-1.1581
1	-0.11873	-1.1701	-0.57889	-0.8843
2	2.1834	0.98106	1.0805	0.95484
2	1.9024	0.26676	0.7527	0.61491
1	1.3127	-0.64765	0.19831	-1.4399
2	2.7402	0.92209	2.2111	1.208
2	0.20265	-0.93755	-0.26009	0.54448
2	1.8359	1.2403	1.8468	1.6169
1	-0.96105	-0.1313	0.14288	-0.48278
1	-0.59027	-0.7222	-0.25191	-1.2122
2	0.18234	-0.57013	-0.061267	-0.5438
1	-0.2634	-1.5355	-1.1998	-2.6613
2	-0.29711	0.86507	0.60361	1.2411
1	-0.5736	-0.60117	-0.7424	-0.79575
1	-0.56602	-0.91776	-1.5669	-2.1735
2	2.645	0.9917	2.3088	1.7993
1	-1.4458	0.17017	0.53321	0.84278
2	0.87407	-0.22306	0.262	-0.86259
1	-1.009	-0.42107	-0.69813	-0.48166
1	-0.21258	0.46913	-0.76457	0.11077
1	0.38785	0.066036	-0.48665	-0.74847
1	0.23	0.16465	-0.57268	0.19043
1	-2.5546	-1.2044	-2.2027	-2.9688
1	-2.6541	-0.3031	-2.0277	-1.3027
2	0.84669	-0.20063	0.3886	1.2227
2	0.37173	-0.23897	0.0036995	-1.4547
1	-1.2721	2.197	0.41411	0.68339
2	3.1268	1.9922	2.748	3.0416
1	-0.98514	-1.7922	-1.2233	-3.1352
2	1.7507	0.66968	0.81377	1.9112
2	1.4847	1.048	1.3718	1.5938
1	-2.4761	0.56532	-0.97153	-0.91123
2	-0.38562	-0.53609	-0.30043	-0.65398
2	2.8441	1.0012	1.3344	2.0595
1	-2.3575	-3.4639	-2.4231	-3.9055
1	-1.1306	0.79272	-0.78962	-0.40706
1	0.14086	0.78178	0.32152	0.79399
2	2.1602	-0.28587	0.20138	0.78238
2	2.1799	1.4137	1.6184	2.2458
2	2.0587	1.409	1.6079	2.4053
2	0.99457	-0.049571	1.1163	2.0792
1	-0.33872	-1.394	-0.67782	-2.2302
2	2.0025	0.5374	1.8476	2.205
1	-1.2048	-1.4988	-0.90782	-1.4206
1	-2.0306	-2.2683	-1.7667	-3.7613
1	-0.6761	0.5275	-0.34657	0.11355
1	-2.2032	-1.89	-2.1862	-2.3535
2	1.7296	1.4183	2.5108	2.4607
1	-1.7813	-0.19829	0.031868	0.014954
2	3.6534	1.9842	2.0081	3.2753
1	-1.396	0.60225	0.089417	0.37343
2	1.684	0.15127	0.55563	-0.099824
1	-0.42167	-0.30521	-0.0050244	-0.68635
2	1.4011	0.65124	0.2796	-0.22261
1	-1.2222	-0.71925	-1.8908	-2.0898
2	0.40742	-0.56741	0.091717	-0.37763
1	-3.429	-2.8956	-2.2286	-3.4496
2	1.1085	-0.89598	1.0267	-0.4909
1	-0.13335	-0.94952	-0.7555	-1.795
2	1.9642	1.2407	2.0614	2.5452
1	-0.72275	-0.11717	-0.54282	-1.9921
1	-0.76589	-0.45987	-0.58174	-1.1552
2	2.0381	1.4219	1.7052	1.3243
1	-0.89424	0.17284	-1.1866	0.12735
1	-1.4248	-1.5493	-1.5627	-2.191
2	1.9829	-0.52149	0.50488	0.88087
2	1.5622	-0.073205	0.87222	-0.68612
1	-0.31189	-0.20595	-0.60619	-1.2632
1	-2.0367	-1.6215	-2.0613	-2.6335
2	2.2545	0.91305	1.4897	2.1731
1	1.0419	1.142	1.8275	1.8053
1	-0.48254	-0.45335	-1.322	-1.3973
2	2.1017	0.74114	1.8757	1.4174
1	-0.41796	-0.38344	-0.17813	-0.23266
2	1.4736	0.92714	1.7223	2.7582
1	-0.72647	-0.96407	-1.004	-1.3232
1	-1.1821	-0.17388	-0.55234	-0.16535
1	-0.2562	-1.4482	-1.0906	-1.9966
1	-1.9089	-1.5948	-1.656	-2.1184
1	-1.2012	0.30118	-0.24953	0.3965
1	-1.8302	0.040955	-1.5321	-0.0067596
2	1.4748	-0.47573	0.19062	-0.38082
1	-0.87675	-0.57924	-0.90781	-1.0718
